time 	 Fx 	 Fy 	 Fz 	 Mx 	 My 	 Mz 	 Fx_p 	 Fy_p 	 Fz_p 	 Fx_v 	 Fy_v 	 Fz_v
0 	 0.0984866 	 -3.14045e-05 	 -212355 	 2.88557e-05 	 5578.05 	 6.93502e-05 	 0.0984866 	 -3.14045e-05 	 12628 	 0 	 0 	 0
0.0048294 	 -8.31133 	 -14.2808 	 -206284 	 -16.3563 	 8606.02 	 -3.52339 	 -8.31133 	 -14.2808 	 18698.9 	 0 	 0 	 0
0.021994 	 -50.0576 	 -43.8572 	 -191562 	 -68.1991 	 15337.5 	 -30.8131 	 -50.0576 	 -43.8572 	 33421.2 	 0 	 0 	 0
0.0389723 	 -81.7899 	 -37.6779 	 -178311 	 -137.198 	 20777.9 	 -100.884 	 -81.7899 	 -37.6779 	 46672.1 	 0 	 0 	 0
0.0558176 	 -110.913 	 31.9223 	 -168256 	 -234.572 	 22855.8 	 -200.942 	 -110.913 	 31.9223 	 56726.4 	 0 	 0 	 0
0.0724723 	 -125.151 	 152.254 	 -161181 	 -400.374 	 23506.6 	 -308.103 	 -125.151 	 152.254 	 63801.5 	 0 	 0 	 0
0.0887042 	 -123.112 	 312.061 	 -155279 	 -628.512 	 24094.2 	 -440.268 	 -123.112 	 312.061 	 69704.1 	 0 	 0 	 0
0.104549 	 -109.333 	 544.187 	 -144954 	 -1004.22 	 24680.9 	 -557.52 	 -109.333 	 544.187 	 80028.7 	 0 	 0 	 0
0.120023 	 -126.171 	 855.203 	 -132346 	 -1533.25 	 26260 	 -658.623 	 -126.171 	 855.203 	 92637.1 	 0 	 0 	 0
0.135251 	 -123.681 	 1140.45 	 -120851 	 -2149.39 	 27311.5 	 -750.344 	 -123.681 	 1140.45 	 104132 	 0 	 0 	 0
0.150055 	 -81.0177 	 1575.63 	 -107839 	 -2830.98 	 26991.7 	 -647.007 	 -81.0177 	 1575.63 	 117144 	 0 	 0 	 0
0.164611 	 -122.251 	 2106.92 	 -95449.1 	 -3617.83 	 25399 	 -587.546 	 -122.251 	 2106.92 	 129534 	 0 	 0 	 0
0.178916 	 -233.651 	 2547.42 	 -86597.4 	 -4168.87 	 21190.3 	 -185.48 	 -233.651 	 2547.42 	 138386 	 0 	 0 	 0
0.192864 	 -266.028 	 2584.17 	 -82539.4 	 -4128.98 	 17322.8 	 -387.314 	 -266.028 	 2584.17 	 142444 	 0 	 0 	 0
0.206662 	 -85.0479 	 2520.24 	 -83128.4 	 -3607.22 	 17592.9 	 -59.9339 	 -85.0479 	 2520.24 	 141854 	 0 	 0 	 0
0.220301 	 -320.959 	 1941.08 	 -85538.4 	 -2887.01 	 12345.8 	 173.663 	 -320.959 	 1941.08 	 139445 	 0 	 0 	 0
0.233702 	 -471.319 	 1740.31 	 -84966.7 	 -2469.95 	 8363.11 	 1033 	 -471.319 	 1740.31 	 140016 	 0 	 0 	 0
0.246982 	 -468.969 	 1886.65 	 -77921.5 	 -2340.39 	 5364.67 	 1004.21 	 -468.969 	 1886.65 	 147061 	 0 	 0 	 0
0.260187 	 -1045.15 	 2592.22 	 -64241 	 -2563.72 	 -3267 	 1298.81 	 -1045.15 	 2592.22 	 160742 	 0 	 0 	 0
0.273341 	 -1274.2 	 3026.63 	 -51607.7 	 -2792.89 	 -7523.22 	 1895.47 	 -1274.2 	 3026.63 	 173375 	 0 	 0 	 0
0.286425 	 -1744.84 	 2853.16 	 -45542.2 	 -2775.45 	 -13106.2 	 1972.99 	 -1744.84 	 2853.16 	 179441 	 0 	 0 	 0
0.299386 	 -1598.21 	 2179.2 	 -45884.6 	 -2307.92 	 -12849.3 	 1833.78 	 -1598.21 	 2179.2 	 179098 	 0 	 0 	 0
0.312168 	 -1877.77 	 1582.64 	 -49088.6 	 -2232.5 	 -17175.5 	 1918.38 	 -1877.77 	 1582.64 	 175894 	 0 	 0 	 0
0.324852 	 -2006.25 	 2112.34 	 -52474.3 	 -2176.76 	 -19342.1 	 1394.45 	 -2006.25 	 2112.34 	 172509 	 0 	 0 	 0
