time 	 XG 	 YG 	 ZG 	 Phi 	 Theta 	 Psi
0 	 12.4979 	 12.5 	 4.00295 	 0 	 0 	 0
0.0048294 	 12.4979 	 12.5 	 4.00295 	 0 	 0 	 0
0.021994 	 12.4979 	 12.5 	 4.00026 	 1.24182e-11 	 0.000645619 	 7.12082e-12
0.0389723 	 12.4979 	 12.5 	 3.99501 	 -1.16453e-05 	 0.00226374 	 -8.03636e-08
0.0558176 	 12.4979 	 12.5 	 3.98747 	 -7.05035e-05 	 0.00557255 	 -2.17868e-06
0.0724723 	 12.4979 	 12.5 	 3.97803 	 -0.000218977 	 0.0110282 	 -1.20682e-05
0.0887042 	 12.4978 	 12.5 	 3.96692 	 -0.000511637 	 0.0186884 	 -3.72239e-05
0.104549 	 12.4978 	 12.5 	 3.95435 	 -0.00103834 	 0.0284581 	 -8.3836e-05
0.120023 	 12.4978 	 12.5 	 3.94039 	 -0.00192081 	 0.0403283 	 -0.000159182
0.135251 	 12.4978 	 12.5 	 3.92539 	 -0.00333721 	 0.0540765 	 -0.000265225
0.150055 	 12.4978 	 12.5 	 3.90939 	 -0.00554777 	 0.0698426 	 -0.000401938
0.164611 	 12.4978 	 12.5001 	 3.89258 	 -0.00883041 	 0.0875959 	 -0.000566911
0.178916 	 12.4978 	 12.5001 	 3.87525 	 -0.0134361 	 0.107043 	 -0.000741103
0.192864 	 12.4978 	 12.5002 	 3.8573 	 -0.0197279 	 0.128224 	 -0.000912898
0.206662 	 12.4978 	 12.5002 	 3.83885 	 -0.0279084 	 0.150745 	 -0.00104779
0.220301 	 12.4978 	 12.5003 	 3.82006 	 -0.0378302 	 0.17413 	 -0.00116098
0.233702 	 12.4978 	 12.5004 	 3.8008 	 -0.0492689 	 0.198549 	 -0.00123867
0.246982 	 12.4977 	 12.5006 	 3.78099 	 -0.0619112 	 0.223687 	 -0.00127467
0.260187 	 12.4977 	 12.5007 	 3.76061 	 -0.0755913 	 0.249306 	 -0.00121855
0.273341 	 12.4977 	 12.5009 	 3.73976 	 -0.0902188 	 0.275156 	 -0.00107493
0.286425 	 12.4977 	 12.501 	 3.71863 	 -0.105813 	 0.300544 	 -0.000825054
0.299386 	 12.4976 	 12.5012 	 3.69742 	 -0.122372 	 0.325086 	 -0.00043425
0.312168 	 12.4976 	 12.5015 	 3.67605 	 -0.139953 	 0.348596 	 9.94244e-05
0.324852 	 12.4975 	 12.5017 	 3.65442 	 -0.158434 	 0.371224 	 0.000763045
0.337502 	 12.4974 	 12.5019 	 3.63239 	 -0.177874 	 0.392808 	 0.0015639
0.35018 	 12.4974 	 12.5022 	 3.60999 	 -0.198216 	 0.413167 	 0.00246936
0.362863 	 12.4972 	 12.5024 	 3.58728 	 -0.219954 	 0.431811 	 0.00354062
0.375521 	 12.4971 	 12.5027 	 3.56438 	 -0.243104 	 0.448584 	 0.00473607
0.388137 	 12.497 	 12.5031 	 3.54143 	 -0.268259 	 0.463057 	 0.00605321
0.400703 	 12.4968 	 12.5035 	 3.51851 	 -0.295357 	 0.475183 	 0.00748322
0.413232 	 12.4966 	 12.5039 	 3.49559 	 -0.324232 	 0.485025 	 0.00897004
0.425751 	 12.4963 	 12.5044 	 3.47262 	 -0.355236 	 0.492121 	 0.0106226
0.438278 	 12.4961 	 12.5049 	 3.44954 	 -0.387713 	 0.495683 	 0.0124339
0.45082 	 12.4957 	 12.5055 	 3.42625 	 -0.421849 	 0.495115 	 0.0144684
0.4634 	 12.4954 	 12.5061 	 3.40276 	 -0.45707 	 0.48939 	 0.0166978
0.476001 	 12.495 	 12.5068 	 3.37922 	 -0.493335 	 0.478311 	 0.0190424
0.488565 	 12.4946 	 12.5075 	 3.35547 	 -0.530628 	 0.460941 	 0.0215464
0.501215 	 12.4941 	 12.5082 	 3.33194 	 -0.5686 	 0.437843 	 0.0242002
0.513746 	 12.4937 	 12.509 	 3.30853 	 -0.607808 	 0.409199 	 0.0270073
0.526248 	 12.4932 	 12.5098 	 3.28503 	 -0.64842 	 0.376053 	 0.0299589
0.538822 	 12.4927 	 12.5106 	 3.26177 	 -0.689531 	 0.339967 	 0.0331001
0.551269 	 12.4923 	 12.5115 	 3.23815 	 -0.731856 	 0.301088 	 0.0364014
0.563876 	 12.4918 	 12.5124 	 3.21426 	 -0.775209 	 0.259801 	 0.0395921
0.576606 	 12.4914 	 12.5133 	 3.19048 	 -0.818941 	 0.216874 	 0.0423967
0.589279 	 12.4909 	 12.5142 	 3.16671 	 -0.863348 	 0.171979 	 0.0447571
0.601974 	 12.4905 	 12.515 	 3.14294 	 -0.908452 	 0.124918 	 0.0467674
0.614704 	 12.4902 	 12.5159 	 3.11917 	 -0.954305 	 0.0758953 	 0.0485806
0.627479 	 12.4898 	 12.5168 	 3.09539 	 -1.00067 	 0.0250104 	 0.0502665
0.640309 	 12.4895 	 12.5176 	 3.07156 	 -1.04743 	 -0.0275213 	 0.0517225
0.65321 	 12.4893 	 12.5185 	 3.04769 	 -1.0944 	 -0.0813824 	 0.0528261
0.66619 	 12.4891 	 12.5193 	 3.02351 	 -1.14241 	 -0.13729 	 0.0538988
0.679401 	 12.4889 	 12.5203 	 2.99938 	 -1.19097 	 -0.19483 	 0.0550042
0.69269 	 12.4888 	 12.5212 	 2.97538 	 -1.2404 	 -0.254027 	 0.0563773
