time 	 Ue [m/s] 	 Ve [m/s] 	 We [m/s] 	 Pe [rad/s] 	 Qe [rad/s] 	 Re [rad/s]
0 	 0 	 0 	 0 	 0 	 0 	 0
0.0048294 	 7.37109e-08 	 -2.35042e-11 	 -0.158934 	 1.27656e-11 	 0.000663685 	 7.32e-12
0.021994 	 -6.07922e-06 	 -1.05722e-05 	 -0.311647 	 -1.20656e-05 	 0.00167652 	 -8.29648e-08
0.0389723 	 -4.28472e-05 	 -4.27859e-05 	 -0.452352 	 -6.16803e-05 	 0.00346746 	 -2.19472e-06
0.0558176 	 -0.000102243 	 -7.01476e-05 	 -0.581842 	 -0.000159645 	 0.0058662 	 -1.06106e-05
0.0724723 	 -0.000180743 	 -4.75542e-05 	 -0.700927 	 -0.000322367 	 0.00843785 	 -2.76259e-05
0.0887042 	 -0.000267208 	 5.76357e-05 	 -0.812285 	 -0.000594078 	 0.0110196 	 -5.23314e-05
0.104549 	 -0.000350272 	 0.000268183 	 -0.917052 	 -0.00101133 	 0.013604 	 -8.57444e-05
0.120023 	 -0.000422872 	 0.00062954 	 -1.01331 	 -0.0016699 	 0.0162094 	 -0.000123649
0.135251 	 -0.000504312 	 0.00118155 	 -1.09873 	 -0.00265042 	 0.018904 	 -0.000161058
0.150055 	 -0.000582812 	 0.00190539 	 -1.17544 	 -0.00400475 	 0.0216597 	 -0.000195771
0.164611 	 -0.000633348 	 0.00288822 	 -1.2427 	 -0.00576329 	 0.0243364 	 -0.000208194
0.178916 	 -0.000707693 	 0.00416951 	 -1.30075 	 -0.00795797 	 0.0267919 	 -0.000200963
0.192864 	 -0.00084827 	 0.00570217 	 -1.35285 	 -0.0104677 	 0.0288188 	 -0.000147135
0.206662 	 -0.00100648 	 0.00723899 	 -1.40194 	 -0.0129214 	 0.0304567 	 -0.000110772
0.220301 	 -0.00105617 	 0.00871164 	 -1.45051 	 -0.015032 	 0.0320911 	 -5.32164e-05
0.233702 	 -0.00124204 	 0.00983569 	 -1.50004 	 -0.0167094 	 0.0332278 	 1.39857e-05
0.246982 	 -0.0015134 	 0.0108377 	 -1.54896 	 -0.0181506 	 0.0339935 	 0.000149389
0.260187 	 -0.00178238 	 0.0119198 	 -1.59366 	 -0.0195115 	 0.0344828 	 0.000280895
0.273341 	 -0.00237864 	 0.0133986 	 -1.63031 	 -0.0209976 	 0.0341867 	 0.000441965
0.286425 	 -0.00309875 	 0.0151091 	 -1.65947 	 -0.0226094 	 0.033511 	 0.000657054
0.299386 	 -0.00407125 	 0.0166994 	 -1.68486 	 -0.0241908 	 0.0323499 	 0.000876565
0.312168 	 -0.00495516 	 0.0179046 	 -1.71023 	 -0.025499 	 0.0312202 	 0.00107579
0.324852 	 -0.00599089 	 0.0187775 	 -1.73731 	 -0.0267637 	 0.0297142 	 0.00128099
0.337502 	 -0.00709991 	 0.0199452 	 -1.76632 	 -0.0279917 	 0.0280145 	 0.00144285
0.35018 	 -0.00852666 	 0.0215915 	 -1.79395 	 -0.0299745 	 0.0257058 	 0.00169812
0.362863 	 -0.0099978 	 0.0237547 	 -1.81501 	 -0.0320268 	 0.023202 	 0.00189989
0.375521 	 -0.0119103 	 0.0270646 	 -1.82631 	 -0.0349392 	 0.0200985 	 0.00210737
0.388137 	 -0.014138 	 0.0307339 	 -1.82969 	 -0.0377478 	 0.0168874 	 0.00230103
0.400703 	 -0.0164879 	 0.0346792 	 -1.83054 	 -0.0402577 	 0.0137154 	 0.00241026
0.413232 	 -0.0192193 	 0.0387665 	 -1.83357 	 -0.0431969 	 0.00987915 	 0.00267076
